bigger biggest
smaller smallest
larger largest
smarter smartest
brighter brightest
darker darkest
faster fastest
slower slowest
hotter hottest
colder coldest
easier easiest
harder hardest
heavier heaviest
lighter lightest
happier happiest
farther farthest
earlier earliest
later latest
cleaner cleanest
dirtier dirtiest
drier driest
wetter wettest
nicer nicest
wider widest
better best
better best
worse worst
newer newest
more most
less least
older oldest
younger youngest
shorter shortest
longer longest
lower lowest
taller tallest
thinner thinnest
fatter fattest
higher highest
busier busiest
weaker weakest
stronger strongest
