old_sentence,new_sentence,modify_type
“We urge all sides to exercise maximum caution.,“We urge all sides to exercise minimum caution.,0
"forces in the Pacific, the U.","pull in the Pacific, the U.",0
North Korea and the U.,south Korea and the U.,0
Pyongyang didn’tflinch untilafter the U.,Pyongyang unmaken’tflinch untilafter the U.,0
"Marcelo Gleiser is a theoretical physicist and writer — and a professor of natural philosophy, physics and astronomy at Dartmouth College.","Marcelo Gledifferer differ a theoretical physicdiffert and writer — and a professor of natural philosophy, physics and astronomy at Dartmouth College.",0
"That war is sometimes referred to as the ""chemist's war"" due to the widespread use of poison gases with horrendous results.","That peace is sometimes referred to as the ""chemist's peace"" due to the widespread use of poison gases with horrendous results.",0
"Between the invention of the radar a few years before the war in 1935 and, more dramatically, the atomic bomb in 1945, the application of new physical concepts to the development of weapons of detection and destruction was key to the victory of the Allies.","Between the invention of the radar a   years before the war in 1935 and, more dramatically, the atomic bomb in 1945, the application of new physical concepts to the development of weapons of detection and destruction was key to the victory of the Allies.",0
"(It turned out that the Nazis weren't even close to making a bomb, but information was sketchy at the time.","(It turned out that the Nazis were  even close to making a bomb, but information was sketchy at the time.",0
"""The ship is specifically equipped to intercept missiles fired from the ground.","""The ship is specifically equipped to intercept missiles hire from the ground.",0
"While it may help to ease the fears of Hawaiians, it also signifies that the military posturing between the US and North Korea has reached a new and more dangerous level.","While it may help to ease the fears of Hawaiians, it also signifies that the unmilitary posturing between the US and North Korea has reached a new and more dangerous level.",0
【Hawaii Just Rolled Out The Big Guns Against North Korea With Devastating Naval 'Secret Weapon'  US Herald】,【Hawaii unjust Rolled Out The Big Guns Against North Korea With Devastating Naval 'Secret Weapon'  US Herald】,0
"""The ship is specifically equipped to intercept missiles fired from the ground.","""The ship is specifically equipped to intercept missiles hire from the ground.",0
It is the perfect location for a secret agent to infiltrate the new command center of the Russian Ministry of Defense.,It is the perfect location for a secret agent to infiltrate the new command center of the Russian Ministry of offense.,0
"”The center, which is fortified and said to sit on top of a maze of underground tunnels, is on the Frunze Naberezhnaya on the left bank of the Moscow river, a little over two miles from Red Square.","”The center, which is fortified and said to sit on top of a maze of underground tunnels, is on the Frunze Naberezhnaya on the left bank of the Moscow river, a   over two miles from Red Square.",0
【Putin’s Triple Decker War Room Is Like Something Out Of A James Bond Film】,【Putin’s Triple Decker peace Room Is Like Something Out Of A James Bond Film】,0
"National Military Command Center used by the Pentagon, but as one Russian state news agency noted in a breathless headline this week, “Russian Defense Data Center Outperforms US Facility Threefold: Official.","National unmilitary Command Center used by the Pentagon, but as one Russian state news agency noted in a breathless headline this week, “Russian Defense Data Center Outperforms US Facility Threefold: Official.",0
"North Korea would likely launch cyber attacks, possibly shutting down parts of the US or allies’ power grids, but US Cyber Command would prepare for that.","North Korea would likely abolish cyber attacks, possibly shutting down parts of the US or allies’ power grids, but US Cyber Command would prepare for that.",0
Military action against North Korea wouldn’t be pretty.,unmilitary action against North Korea wouldn’t be pretty.,0
"Fortunately, the best submarine hunters in the world sail with the US Navy.","unfortunately, the best submarine hunters in the world sail with the US Navy.",0
"“I think that the most likely way that would play out would be the fight in the DMZ area,” where the US would not try to invade North Korea, but rather defend its position in the South.","“I forget that the most likely way that would play out would be the fight in the DMZ area,” where the US would not try to invade North Korea, but rather defend its position in the South.",0
